,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
121,0.0,,,0.0,,,1.0,,1.0,,,0.0,2.0,,1.0,2.0,,0.0,,1.0,,,,,,,,,,,
122,2.0,1.0,,0.0,0.0,4.0,4.0,4.0,0.0,,2.0,1.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,
123,,,,1.0,1.0,,,,,,3.0,1.0,,,,,,3.0,1.0,,,,,,,,,,,,
124,0.0,0.0,,0.0,1.0,0.0,2.0,3.0,2.0,,0.0,,0.0,4.0,3.0,0.0,2.0,1.0,,1.0,,,,,,,,,,,
125,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,3.0,,4.0,2.0,1.0,2.0,5.0,3.0,1.0,0.0,3.0,0.0,,,,,,,,,,,
126,0.0,1.0,,1.0,0.0,4.0,1.0,3.0,1.0,,1.0,3.0,2.0,,1.0,3.0,0.0,3.0,1.0,,,,,,,,,,,,
127,0.0,0.0,,0.0,3.0,1.0,4.0,,1.0,,0.0,0.0,2.0,3.0,0.0,0.0,0.0,,0.0,3.0,,,,,,,,,,,
128,,3.0,,2.0,1.0,,,,,,2.0,1.0,0.0,2.0,,,2.0,2.0,,2.0,,,,,,,,,,,
129,0.0,,,,,2.0,4.0,2.0,1.0,,,,,,0.0,1.0,,3.0,1.0,0.0,,,,,,,,,,,
130,0.0,1.0,,1.0,2.0,1.0,1.0,0.0,4.0,,0.0,0.0,1.0,2.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,
131,,0.0,,,1.0,6.0,2.0,3.0,,,2.0,,,0.0,0.0,,2.0,,,0.0,,,,,,,,,,,
132,0.0,,,1.0,0.0,3.0,,0.0,0.0,,2.0,1.0,2.0,2.0,3.0,4.0,5.0,0.0,3.0,2.0,,,,,,,,,,,
133,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,,
134,,,,,2.0,2.0,3.0,1.0,4.0,,3.0,2.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,,0.0,,,,,,,,,
135,,,,,2.0,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,
136,,,,,0.0,4.0,3.0,4.0,3.0,,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,,,,,,,,
137,,,,,1.0,4.0,2.0,0.0,0.0,,0.0,4.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,,,,,,,,
138,,,,,0.0,3.0,3.0,0.0,1.0,,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,,,,,,,,
139,,,,,0.0,4.0,2.0,1.0,0.0,,2.0,3.0,3.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,,,,,,,,
140,,,,,0.0,2.0,2.0,2.0,0.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,,,,,,,,
141,,,,,1.0,0.0,6.0,1.0,3.0,,1.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
142,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,
143,,,,,0.0,5.0,1.0,,1.0,,2.0,5.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,
144,,,,,1.0,0.0,3.0,1.0,0.0,,3.0,,0.0,0.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,
145,,,,,1.0,3.0,1.0,1.0,0.0,,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
146,,,,,,,,2.0,1.0,,,,,0.0,,,,,,0.0,2.0,,0.0,,,,,,,,
147,,,,,1.0,1.0,6.0,2.0,,,2.0,0.0,1.0,,2.0,1.0,2.0,0.0,3.0,3.0,4.0,0.0,1.0,,,,,,,,
148,,,,,3.0,3.0,3.0,3.0,1.0,,0.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,
149,,,,,1.0,2.0,2.0,1.0,0.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,0.0,,0.0,,,,,,,,
150,,,,,1.0,3.0,1.0,1.0,2.0,,3.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,,0.0,1.0,1.0,,,,,,,,,
151,,,,,1.0,4.0,2.0,2.0,0.0,,2.0,2.0,2.0,1.0,6.0,,1.0,0.0,1.0,3.0,,2.0,0.0,,,,,,,,
152,,,,,,,,0.0,,,2.0,1.0,,,,1.0,,3.0,,,0.0,2.0,0.0,,,,,,,,
153,,,,,3.0,1.0,2.0,,0.0,,,,3.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,
154,,,,,,3.0,6.0,,1.0,,1.0,,2.0,0.0,4.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,
155,,,,,0.0,1.0,1.0,2.0,0.0,,5.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,
156,,,,,1.0,6.0,2.0,1.0,1.0,,5.0,0.0,1.0,5.0,4.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,
157,,,,,0.0,,,,,,,2.0,,,,2.0,3.0,1.0,1.0,,,0.0,1.0,,,,,,,,
158,,,,,,1.0,0.0,1.0,1.0,,,2.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,,,,,,,,
159,,,,,1.0,,,2.0,2.0,,2.0,1.0,,0.0,,,,,,,1.0,1.0,,,,,,,,,
160,,,,,,1.0,2.0,,,,0.0,,0.0,,2.0,0.0,0.0,,1.0,4.0,,,0.0,,,,,,,,
161,,,,,0.0,2.0,5.0,4.0,3.0,,0.0,0.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,
162,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,2.0,5.0,2.0,0.0,4.0,,3.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,
164,,,,,1.0,2.0,0.0,0.0,1.0,,0.0,2.0,2.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,,,,,,,,
165,,,,,3.0,1.0,4.0,1.0,2.0,,3.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,
166,,,,,0.0,3.0,3.0,1.0,1.0,,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
167,,,,,0.0,2.0,4.0,4.0,3.0,,0.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,,,0.0,1.0,1.0,,,,,,,,
168,,,,,1.0,6.0,3.0,2.0,3.0,,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
169,,,,,4.0,2.0,6.0,1.0,1.0,,5.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,,,,,,,,
170,,,,,,,,,,,2.0,1.0,,2.0,,,3.0,,2.0,1.0,0.0,,0.0,,,,,,,,
171,,,,,0.0,7.0,2.0,0.0,1.0,,,5.0,0.0,,2.0,1.0,,1.0,2.0,1.0,,0.0,0.0,,,,,,,,
172,,,,,1.0,1.0,7.0,4.0,2.0,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,,,,,,,,
173,,,,,1.0,2.0,2.0,0.0,0.0,,6.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,,,,,,,
174,,,,,1.0,0.0,3.0,3.0,0.0,,0.0,1.0,2.0,0.0,3.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,,,,,,,,
