,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
480,,,,,,2.0,2.0,1.0,0.0,,3.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,,,1.0,,2.0,6.0,1.0,,,,
481,,,,,,4.0,0.0,5.0,1.0,,2.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,,,1.0,,0.0,0.0,2.0,,,,
482,,,,,,5.0,4.0,0.0,4.0,,1.0,2.0,0.0,1.0,5.0,0.0,2.0,3.0,0.0,1.0,,,2.0,,2.0,2.0,4.0,,,,
483,,,,,,6.0,2.0,1.0,2.0,,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,1.0,,,2.0,,1.0,5.0,0.0,,,,
484,,,,,,1.0,2.0,0.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,,,2.0,,3.0,2.0,1.0,,,,
485,,,,,,1.0,3.0,2.0,0.0,,1.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,,,0.0,,0.0,0.0,0.0,,,,
486,,,,,,3.0,2.0,1.0,2.0,,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,,,1.0,,1.0,1.0,3.0,,,,
487,,,,,,1.0,4.0,3.0,2.0,,1.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,,,1.0,,2.0,2.0,0.0,,,,
488,,,,,,6.0,0.0,0.0,0.0,,2.0,4.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,,,1.0,,2.0,1.0,2.0,,,,
489,,,,,,1.0,3.0,2.0,0.0,,0.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,,,3.0,,1.0,1.0,0.0,,,,
490,,,,,,5.0,2.0,3.0,0.0,,1.0,2.0,0.0,1.0,0.0,3.0,4.0,2.0,4.0,1.0,,,1.0,,2.0,1.0,1.0,,,,
491,,,,,,7.0,3.0,4.0,0.0,,1.0,3.0,2.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,,,0.0,,0.0,3.0,0.0,,,,
492,,,,,,2.0,1.0,0.0,1.0,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,,,1.0,,2.0,4.0,2.0,,,,
493,,,,,,2.0,2.0,1.0,0.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,,,3.0,,2.0,1.0,2.0,,,,
494,,,,,,1.0,1.0,4.0,0.0,,2.0,0.0,1.0,2.0,2.0,5.0,0.0,3.0,1.0,1.0,,,0.0,,1.0,3.0,1.0,,,,
495,,,,,,2.0,2.0,0.0,2.0,,2.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,,,2.0,,3.0,1.0,0.0,,,,
