,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
173,,0.0,,,0.0,1.0,3.0,1.0,0.0,,2.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,3.0,2.0,4.0,,,,3.0,,,,,,
174,,0.0,,,2.0,3.0,5.0,3.0,2.0,,3.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,,,,0.0,,,,,,
175,,0.0,,,0.0,4.0,1.0,2.0,4.0,,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,
176,,2.0,,,2.0,3.0,0.0,3.0,2.0,,1.0,3.0,2.0,3.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,,,,0.0,,,,,,
177,,2.0,,,1.0,2.0,1.0,0.0,2.0,,3.0,0.0,,,2.0,1.0,3.0,2.0,2.0,3.0,1.0,,,,0.0,,,,,,
178,,0.0,,,1.0,2.0,0.0,1.0,0.0,,2.0,5.0,1.0,4.0,4.0,0.0,3.0,3.0,3.0,2.0,0.0,,,,2.0,,,,,,
179,,2.0,,,2.0,0.0,1.0,0.0,1.0,,4.0,1.0,1.0,3.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,,,,3.0,,,,,,
180,,0.0,,,0.0,3.0,3.0,0.0,0.0,,0.0,,1.0,1.0,4.0,1.0,4.0,0.0,0.0,2.0,3.0,,,,,,,,,,
181,,1.0,,,2.0,1.0,1.0,1.0,2.0,,0.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,,,,5.0,,,,,,
182,,0.0,,,0.0,2.0,5.0,1.0,0.0,,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,,,,1.0,,,,,,
183,,0.0,,,0.0,2.0,4.0,1.0,2.0,,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,,,,0.0,,,,,,
184,,0.0,,,0.0,4.0,2.0,1.0,1.0,,2.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,,,,0.0,,,,,,
185,,0.0,,,3.0,3.0,1.0,0.0,2.0,,1.0,3.0,0.0,0.0,3.0,0.0,5.0,2.0,1.0,0.0,1.0,,,,1.0,,,,,,
186,,0.0,,,1.0,0.0,4.0,1.0,1.0,,2.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,,,,2.0,,,,,,
187,,1.0,,,2.0,4.0,2.0,0.0,1.0,,2.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,,,,0.0,,,,,,
188,,0.0,,,0.0,4.0,0.0,0.0,1.0,,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,,,,0.0,,,,,,
189,,0.0,,,2.0,4.0,1.0,2.0,3.0,,1.0,0.0,2.0,3.0,7.0,3.0,3.0,1.0,0.0,0.0,1.0,,,,2.0,,,,,,
190,,0.0,,,2.0,0.0,2.0,1.0,1.0,,3.0,2.0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,,
191,,0.0,,,2.0,4.0,2.0,0.0,1.0,,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,,,,4.0,,,,,,
192,,1.0,,,0.0,3.0,2.0,0.0,0.0,,0.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,0.0,,,,1.0,,,,,,
193,,,,,0.0,,,2.0,2.0,,,1.0,2.0,0.0,,2.0,,0.0,2.0,,1.0,,,,,,,,,,
194,,1.0,,,2.0,4.0,1.0,1.0,2.0,,1.0,1.0,3.0,2.0,4.0,2.0,3.0,0.0,1.0,2.0,0.0,,,,0.0,,,,,,
195,,0.0,,,0.0,4.0,0.0,0.0,2.0,,1.0,3.0,2.0,1.0,4.0,0.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,
196,,2.0,,,1.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,4.0,4.0,1.0,2.0,4.0,1.0,3.0,1.0,,,,0.0,,,,,,
197,,0.0,,,0.0,3.0,4.0,,1.0,,1.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,,,,2.0,,,,,,
198,,1.0,,,2.0,1.0,3.0,2.0,4.0,,3.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,0.0,,,,,,
199,,2.0,,,0.0,3.0,1.0,2.0,2.0,,7.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,,,,1.0,,,,,,
200,,0.0,,,0.0,2.0,4.0,0.0,1.0,,3.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,,,,0.0,,,,,,
201,,1.0,,,1.0,4.0,4.0,1.0,0.0,,2.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,,,,2.0,,,,,,
